Name,Age,Party Code,Criminal Cases,Education Level,Movable Assets,Immovable Assets,Total Assets,Total Liabilities,PAN Given(Y/N),candidate_link,constituency_id,constituency_name
Samdup Lepcha,59,Sikkim Krantikari Morcha,No,10th Pass,,"58,05,51,376~ 58 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=53,26,LACHEN MANGAN (BL)
Anup Thatal,46,Sikkim Democratic Front,No,10th Pass,,0~,,"1,47,40,678~ 1 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=135,27,WEST PENDAM (SC)
Bhupal Baraily,48,BJP,No,12th Pass,,"4,20,00,000~ 4 Crore+",,"32,60,853~ 32 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=137,27,WEST PENDAM (SC)
Jagdish Cintury,45,IND,No,8th Pass,,"57,56,046~ 57 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=133,27,WEST PENDAM (SC)
Lall Bahadur Das,52,Sikkim Krantikari Morcha,No,Graduate,,"5,83,30,387~ 5 Crore+",,"1,56,78,534~ 1 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=136,27,WEST PENDAM (SC)
Madan Kumar Shiva Shanker,59,Citizen Action Party-Sikkim,No,Graduate Professional,,"4,44,00,000~ 4 Crore+",,"37,58,806~ 37 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=134,27,WEST PENDAM (SC)
Kapil Prasad Sapkota,59,INC,No,8th Pass,,"91,77,500~ 91 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=89,28,RHENOCK
Laxmi Sharma,32,Sikkim Republican Party,No,12th Pass,,0~,,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=90,28,RHENOCK
P S Tamang,56,Sikkim Krantikari Morcha,Yes   1,Graduate,,"4,76,17,300~ 4 Crore+",,"15,00,000~ 15 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=88,28,RHENOCK
Prem Chhetri,59,BJP,No,Graduate,,"90,00,000~ 90 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=91,28,RHENOCK
Som Nath Poudyal,60,Sikkim Democratic Front,No,Graduate,,"9,63,55,503~ 9 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=92,28,RHENOCK
Tika Ram Sharma,34,Citizen Action Party-Sikkim,No,Graduate,,"1,75,00,000~ 1 Crore+",,"81,263~ 81 Thou+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=93,28,RHENOCK
Duk Nath Nepal,61,BJP,No,Post Graduate,,"3,90,00,000~ 3 Crore+",,"17,50,000~ 17 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=25,29,CHUJACHEN
Ganesh Kumar Rai,44,Citizen Action Party-Sikkim,Yes   2,12th Pass,,"16,53,85,920~ 16 Crore+",,"31,43,108~ 31 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=23,29,CHUJACHEN
Mani Kumar Gurung,45,Sikkim Democratic Front,No,12th Pass,,"1,68,00,000~ 1 Crore+",,"8,22,000~ 8 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=27,29,CHUJACHEN
Puran Kr. Gurung,57,Sikkim Krantikari Morcha,No,12th Pass,,"1,53,77,282~ 1 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=26,29,CHUJACHEN
Dipendra Gurung,51,IND,No,Doctorate,,"5,70,70,000~ 5 Crore+",,"48,82,814~ 48 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=8,3,MANEYBONG-DENTAM
Nar Bahadur Gurung,61,INC,No,5th Pass,,"50,25,473~ 50 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=56,3,MANEYBONG-DENTAM
Narendra Kumar Subba,56,BJP,No,Graduate Professional,,"10,69,08,781~ 10 Crore+",,"4,15,20,130~ 4 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=9,3,MANEYBONG-DENTAM
