Name (Party),Total Assets in AndhraPradesh 2024,Total Assets in AndhraPradesh 2019,Asset Increase,% Increase in Asset,Date
Venkata Rao Talari (YSRCP),"6,30,91,4316 Crore+","4,22,00,6584 Crore+","2,08,90,7732 Crore+",50%,30/05/2024 12:55:11
Chintala Ramachandra Reddy (YSRCP),"5,38,97,9125 Crore+","3,43,86,9543 Crore+","1,95,10,9581 Crore+",57%,30/05/2024 12:55:11
Uma Sankara Ganesh Petla (YSRCP),"2,59,11,5322 Crore+","66,74,37966 Lacs+","1,92,37,1531 Crore+",288%,30/05/2024 12:55:11
Kodali Sri Venkateswara Rao (Nani) (YSRCP),"16,68,25,41116 Crore+","14,82,19,36314 Crore+","1,86,06,0481 Crore+",13%,30/05/2024 12:55:11
Appalaraju Seediri (YSRCP),"3,30,28,6383 Crore+","1,52,28,8261 Crore+","1,77,99,8121 Crore+",117%,30/05/2024 12:55:11
China Rajappa Nimmakayala (TDP),"2,89,45,1412 Crore+","1,26,95,7771 Crore+","1,62,49,3641 Crore+",128%,30/05/2024 12:55:11
Kiliveti Sanjeevaiah (YSRCP),"8,07,09,2668 Crore+","6,46,43,0796 Crore+","1,60,66,1871 Crore+",25%,30/05/2024 12:55:11
Vunnamatla Rakada Eliza (INC),"6,10,08,1456 Crore+","4,49,68,6094 Crore+","1,60,39,5361 Crore+",36%,30/05/2024 12:55:11
Kethireddy Venkata Rami Reddy (YSRCP),"6,56,40,7816 Crore+","5,01,45,9975 Crore+","1,54,94,7841 Crore+",31%,30/05/2024 12:55:11
Kurasala Kanna Babu (YSRCP),"2,32,94,3112 Crore+","85,20,46985 Lacs+","1,47,73,8421 Crore+",173%,30/05/2024 12:55:11
Kangati Sridevi (YSRCP),"4,46,50,5294 Crore+","3,06,45,2633 Crore+","1,40,05,2661 Crore+",46%,30/05/2024 12:55:11
Udaya Bhanu Samineni (YSRCP),"18,59,51,62218 Crore+","17,35,72,55417 Crore+","1,23,79,0681 Crore+",7%,30/05/2024 12:55:11
Puppala Srinivasa Rao (YSRCP),"8,27,16,9348 Crore+","7,14,18,4067 Crore+","1,12,98,5281 Crore+",16%,30/05/2024 12:55:11
Jogulu Kambala (YSRCP),"1,17,38,4141 Crore+","40,65,43740 Lacs+","76,72,97776 Lacs+",189%,30/05/2024 12:55:11
Viswasarayi Kalavathi (YSRCP),"2,06,40,6162 Crore+","1,34,18,9791 Crore+","72,21,63772 Lacs+",54%,30/05/2024 12:55:11
Koneti Adimulam (TDP),"96,18,91796 Lacs+","25,80,00025 Lacs+","70,38,91770 Lacs+",273%,30/05/2024 12:55:11
Doctor Dola Sree Bala Veeranjaneya Swamy (TDP),"93,41,34993 Lacs+","25,41,60025 Lacs+","67,99,74967 Lacs+",268%,30/05/2024 12:55:11
Nagulapalli Dhanalakshmi (YSRCP),"72,45,32172 Lacs+","6,75,0006 Lacs+","65,70,32165 Lacs+",973%,30/05/2024 12:55:11
Thammineni Seetaram (YSRCP),"10,33,80,45010 Crore+","9,74,97,6139 Crore+","58,82,83758 Lacs+",6%,30/05/2024 12:55:11
Kotamreddy Sridhar Reddy (TDP),"2,45,14,3312 Crore+","1,86,90,4971 Crore+","58,23,83458 Lacs+",31%,30/05/2024 12:55:11
Ashok Bendalam (TDP),"1,73,37,5001 Crore+","1,21,20,0001 Crore+","52,17,50052 Lacs+",43%,30/05/2024 12:55:11
Dasari Sudha (YSRCP),"1,92,75,5941 Crore+","1,59,72,1771 Crore+","33,03,41733 Lacs+",21%,30/05/2024 12:55:11
Thoguru Arthur (INC),"1,52,56,8481 Crore+","1,23,41,4171 Crore+","29,15,43129 Lacs+",24%,30/05/2024 12:55:11
Abbaya Chowdary Kothari (YSRCP),"15,86,20,73115 Crore+","15,64,35,08615 Crore+","21,85,64521 Lacs+",1%,30/05/2024 12:55:11
M Babu (INC),"1,79,35,6001 Crore+","1,63,36,0001 Crore+","15,99,60015 Lacs+",10%,30/05/2024 12:55:11
Kunduru Nagarjuna Reddy (Kp) (YSRCP),"10,32,73,90410 Crore+","10,19,81,10010 Crore+","12,92,80412 Lacs+",1%,30/05/2024 12:55:11
Y. Balanagi Reddy (YSRCP),"2,29,64,4082 Crore+","2,29,64,4072 Crore+",1,0%,30/05/2024 12:55:11
Dr.Nimmala Ramanaidu (TDP),"9,51,39,3109 Crore+","9,76,04,0949 Crore+","-24,64,784",-3%,30/05/2024 12:55:11
Ganta Srinivasa Rao (TDP),"24,41,07,21024 Crore+","25,75,84,38525 Crore+","-1,34,77,175",-5%,30/05/2024 12:55:11
Mahesh Reddy Kasu (YSRCP),"5,49,87,4205 Crore+","7,32,55,0987 Crore+","-1,82,67,678",-25%,30/05/2024 12:55:11
Karanam Dharmasri (YSRCP),"11,93,82,77611 Crore+","13,84,38,00013 Crore+","-1,90,55,224",-14%,30/05/2024 12:55:11
Reddy Shanthi (YSRCP),"3,37,49,8183 Crore+","6,71,67,8756 Crore+","-3,34,18,057",-50%,30/05/2024 12:55:11
Kona Raghupathi (YSRCP),"24,20,06,14324 Crore+","28,34,27,20928 Crore+","-4,14,21,066",-15%,30/05/2024 12:55:11
Pochimareddy Ravindranath Reddy (YSRCP),"35,73,82,68935 Crore+","40,53,86,01740 Crore+","-4,80,03,328",-12%,30/05/2024 12:55:11
Ramireddy Pratap Kumar Reddy (YSRCP),"2,36,98,53,694236 Crore+","2,42,46,51,758242 Crore+","-5,47,98,064",-2%,30/05/2024 12:55:11
Gottipati Ravi Kumar (TDP),"36,33,45,52136 Crore+","58,37,67,37458 Crore+","-22,04,21,853",-38%,30/05/2024 12:55:11
Bolla Brahma Naidu (YSRCP),"1,31,97,16,348131 Crore+","1,73,13,24,838173 Crore+","-41,16,08,490",-24%,30/05/2024 12:55:11
Rajini Vidadala (YSRCP),"85,76,10,72585 Crore+","1,28,14,06,682128 Crore+","-42,37,95,957",-33%,30/05/2024 12:55:11
